調教師,race_pace,件数,勝率,複勝率
宗像義忠,スロー上がり,202,0.09389671361502347,0.2535211267605634
荒川義之,スロー上がり,146,0.06493506493506493,0.2532467532467532
松下武士,スロー上がり,91,0.07368421052631578,0.25263157894736843
小島茂之,スロー上がり,197,0.0970873786407767,0.2524271844660194
清水久詞,スロー上がり,280,0.06944444444444445,0.25
平田修,スロー上がり,142,0.11805555555555555,0.25
斎藤誠,スロー上がり,262,0.08178438661710037,0.24907063197026022
菊沢隆徳,スロー上がり,139,0.07801418439716312,0.24822695035460993
高橋亮,スロー上がり,135,0.08759124087591241,0.24817518248175183
岩戸孝樹,スロー上がり,91,0.07526881720430108,0.24731182795698925
浜田多実,スロー上がり,90,0.1,0.24444444444444444
加藤敬二,スロー上がり,33,0.06060606060606061,0.24242424242424243
北出成人,スロー上がり,157,0.037267080745341616,0.2422360248447205
高柳瑞樹,スロー上がり,91,0.05434782608695652,0.2391304347826087
池上昌弘,スロー上がり,40,0.07142857142857142,0.23809523809523808
今野貞一,スロー上がり,133,0.07407407407407407,0.23703703703703705
南井克巳,スロー上がり,62,0.03125,0.234375
木原一良,スロー上がり,105,0.037383177570093455,0.2336448598130841
小野次郎,スロー上がり,90,0.03333333333333333,0.23333333333333334
石橋守,スロー上がり,103,0.0673076923076923,0.23076923076923078
和田正道,スロー上がり,38,0.05128205128205128,0.23076923076923078
上原博之,スロー上がり,179,0.0962566844919786,0.22994652406417113
高橋康之,スロー上がり,109,0.07339449541284404,0.22935779816513763
小林真也,スロー上がり,42,0.045454545454545456,0.22727272727272727
松元茂樹,スロー上がり,61,0.04838709677419355,0.22580645161290322
竹内正洋,スロー上がり,80,0.0625,0.225
辻哲英,スロー上がり,49,0.061224489795918366,0.22448979591836735
吉岡辰弥,スロー上がり,83,0.09411764705882353,0.2235294117647059
高柳大輔,スロー上がり,67,0.058823529411764705,0.22058823529411764
中舘英二,スロー上がり,99,0.0594059405940594,0.21782178217821782
鈴木伸尋,スロー上がり,78,0.012048192771084338,0.21686746987951808
新開幸一,スロー上がり,72,0.0759493670886076,0.21518987341772153
加用正,スロー上がり,95,0.05102040816326531,0.21428571428571427
池添兼雄,スロー上がり,157,0.050314465408805034,0.2138364779874214
大和田成,スロー上がり,127,0.03816793893129771,0.21374045801526717
田村康仁,スロー上がり,172,0.059782608695652176,0.21195652173913043
本田優,スロー上がり,219,0.07174887892376682,0.21076233183856502
寺島良,スロー上がり,222,0.05652173913043478,0.20869565217391303
杉山佳明,スロー上がり,49,0.10204081632653061,0.20408163265306123
土田稔,スロー上がり,59,0.06779661016949153,0.2033898305084746
西園正都,スロー上がり,164,0.10714285714285714,0.20238095238095238
千田輝彦,スロー上がり,131,0.07407407407407407,0.2
小西一男,スロー上がり,76,0.05194805194805195,0.19480519480519481
相沢郁,スロー上がり,242,0.05555555555555555,0.19444444444444445
羽月友彦,スロー上がり,65,0.014925373134328358,0.19402985074626866
飯田雄三,スロー上がり,65,0.029850746268656716,0.19402985074626866
高木登,スロー上がり,149,0.05161290322580645,0.1935483870967742
安達昭夫,スロー上がり,105,0.07339449541284404,0.1926605504587156
中川公成,スロー上がり,123,0.05555555555555555,0.19047619047619047
梅田智之,スロー上がり,147,0.06962025316455696,0.189873417721519
伊藤大士,スロー上がり,136,0.04195804195804196,0.1888111888111888
大橋勇樹,スロー上がり,94,0.07291666666666667,0.1875
二ノ宮敬,スロー上がり,55,0.01694915254237288,0.1864406779661017
武市康男,スロー上がり,164,0.05952380952380952,0.18452380952380953
稲垣幸雄,スロー上がり,49,0.061224489795918366,0.1836734693877551
金成貴史,スロー上がり,207,0.056338028169014086,0.18309859154929578
谷潔,スロー上がり,114,0.05982905982905983,0.1794871794871795
浅見秀一,スロー上がり,78,0.02564102564102564,0.1794871794871795
武藤善則,スロー上がり,112,0.0625,0.17857142857142858
尾形充弘,スロー上がり,50,0.057692307692307696,0.17307692307692307
高橋祥泰,スロー上がり,120,0.05426356589147287,0.17054263565891473
水野貴広,スロー上がり,93,0.020833333333333332,0.16666666666666666
森田直行,スロー上がり,90,0.0625,0.16666666666666666
橋田満,スロー上がり,126,0.05426356589147287,0.16279069767441862
奥平雅士,スロー上がり,66,0.014705882352941176,0.16176470588235295
菊川正達,スロー上がり,159,0.06547619047619048,0.16071428571428573
松山将樹,スロー上がり,75,0.05333333333333334,0.16
小手川準,スロー上がり,74,0.04,0.16
中野栄治,スロー上がり,184,0.04736842105263158,0.15789473684210525
矢野英一,スロー上がり,76,0.05263157894736842,0.15789473684210525
高橋裕,スロー上がり,128,0.03731343283582089,0.15671641791044777
坂口智康,スロー上がり,44,0.0,0.15555555555555556
柄崎孝,スロー上がり,77,0.038461538461538464,0.15384615384615385
