場所,芝・ダ,距離,馬場状態,レース数,勝ち時計平均秒,勝ち上り3F平均,RPCI平均,平均1Fタイム,平均速度,Ave_3F平均,勝ち馬4角率平均,勝ち馬PCI平均,三着内上り3F平均,三着内4角率平均,三着内先行率_4角35以内,三着内差し追込率_4角60超,標準ペース判定,好走ゾーン,勝ち時計平均
中山,芝,3350,良,7,223.28571428571428,13.342857142857143,,13.328571428571427,54.01285714285715,,0.15939298796441653,,13.361904761904762,0.18346415489272633,90.47619047619048,0.0,不明,前残り・先行優勢,3:43.3
中山,芝,3350,重,1,228.3,13.6,,13.63,52.83,,0.07142857142857142,,13.666666666666666,0.2857142857142857,33.33333333333333,0.0,不明,中間/混合,3:48.3
中山,芝,3570,稍,1,243.6,13.6,,13.65,52.76,,0.09090909090909091,,13.666666666666666,0.1818181818181818,100.0,0.0,不明,前残り・先行優勢,4:03.6
中山,芝,3570,良,9,241.22222222222223,13.533333333333333,,13.513333333333334,53.284444444444446,,0.1641099641099641,,13.540740740740741,0.2076918451918452,85.18518518518519,0.0,不明,前残り・先行優勢,4:01.2
中山,芝,3600,稍,1,232.0,34.8,61.8,12.89,55.86,39.44,0.2,63.3,35.0,0.15555555555555556,100.0,0.0,スロー上がり,前残り・先行優勢,3:52.0
中山,芝,3600,良,9,226.10000000000002,35.15555555555555,57.099999999999994,12.55888888888889,57.32222222222222,38.18888888888889,0.2841117216117216,58.666666666666664,35.17037037037037,0.3456807081807082,59.25925925925925,18.51851851851852,スロー上がり,前残り・先行優勢,3:46.1
中山,芝,4100,稍,1,286.6,14.0,,13.98,51.5,,0.07142857142857142,,14.0,0.19047619047619047,66.66666666666666,0.0,不明,前残り・先行優勢,4:46.6
中山,芝,4100,良,9,281.4555555555555,13.733333333333333,,13.729999999999999,52.44888888888889,,0.11710480877147544,,13.755555555555555,0.2199908630464186,88.88888888888889,3.7037037037037033,不明,前残り・先行優勢,4:41.5
中山,芝,4250,不,1,302.9,14.3,,14.25,50.51,,0.09090909090909091,,14.333333333333334,0.1818181818181818,100.0,0.0,不明,前残り・先行優勢,5:02.9
中山,芝,4250,稍,1,292.3,13.8,,13.76,52.34,,0.2222222222222222,,13.800000000000002,0.2962962962962963,66.66666666666666,0.0,不明,前残り・先行優勢,4:52.3
中山,芝,4250,良,5,287.74,13.540000000000001,,13.540000000000001,53.176,,0.11689976689976689,,13.586666666666668,0.20703185703185703,86.66666666666667,0.0,不明,前残り・先行優勢,4:47.7
中山,芝,4250,重,1,294.1,13.8,,13.84,52.02,,0.1,,13.933333333333332,0.3333333333333333,66.66666666666666,0.0,不明,前残り・先行優勢,4:54.1
中山,芝,4260,良,2,289.75,13.6,,13.605,52.93,,0.09166666666666667,,13.666666666666666,0.19999999999999998,100.0,0.0,不明,前残り・先行優勢,4:49.8
京都,ダ,1200,不,15,70.14,35.46666666666667,45.24666666666667,11.69,61.59733333333334,34.67333333333333,0.2475152625152625,47.79333333333333,35.55777777777777,0.31994301994301994,62.22222222222222,11.11111111111111,ハイ/持続,前残り・先行優勢,1:10.1
京都,ダ,1200,稍,48,71.68124999999999,36.083333333333336,45.26458333333333,11.946875,60.274791666666665,35.59791666666667,0.35070684523809526,48.70208333333333,36.21793103448276,0.36459844752948206,55.172413793103445,20.689655172413794,ハイ/持続,前残り・先行優勢,1:11.7
京都,ダ,1200,良,146,71.6054794520548,36.06164383561644,45.5013698630137,11.933698630136986,60.33609589041096,35.54383561643835,0.3384831492708205,48.61027397260274,36.16719817767654,0.3695773000727443,55.35307517084283,20.956719817767656,ハイ/持続,前残り・先行優勢,1:11.6
京都,ダ,1200,重,25,70.956,36.028,44.644,11.825999999999999,60.8936,34.928000000000004,0.2717049617049617,46.992,36.09466666666667,0.3326098901098901,56.00000000000001,17.333333333333336,ハイ/持続,前残り・先行優勢,1:11.0
京都,ダ,1400,不,12,83.39166666666667,36.458333333333336,44.958333333333336,11.914166666666667,60.44083333333333,35.2025,0.2234241452991453,46.61666666666667,36.49444444444444,0.3211538461538461,63.888888888888886,25.0,ハイ/持続,前残り・先行優勢,1:23.4
京都,ダ,1400,稍,54,84.40363636363637,36.661818181818184,45.30545454545455,12.057272727272727,59.72181818181818,35.80890909090909,0.29675264129809586,47.71272727272727,36.83024691358025,0.34987522765300544,52.46913580246913,16.666666666666664,ハイ/持続,中間/混合,1:24.4
